"Source","Target","Weight"
"Per Nilsson","Burcu Nur Baştürk Şahin",0.142857142857143
"James Gray","Caterina Papa",0.142857142857143
"James Gray","Patrick Ebers",0.125
"James Gray","Cristina Poli",0.125
"Patrick Ebers","Caterina Papa",0.125
"Cristina Poli","Caterina Papa",0.125
"Patrick Ebers","Cristina Poli",0.111111111111111
"Burcu Nur Baştürk Şahin","Francesco Contel",0.0909090909090909
"Kevin Larkin","Marcus Gustafsson",0.0526315789473684
"Marcus Gustafsson","Francesco Contel",0.0526315789473684
"Sara Gagliani Caputo","Jana Višňovská",0.04
"Marzia Garzetti","Lorenzo Pollani",0.04
"Lorenzo Pollani","Yosep Dwi Kristanto",0.0384615384615385
"Yosep Dwi Kristanto","Annika Volt",0.0384615384615385
"Dubravka Glasnović Gracin","Caterina Papa",0.0344827586206897
"Kevin Larkin","Dubravka Glasnović Gracin",0
"Kevin Larkin","James Gray",0
"Dubravka Glasnović Gracin","James Gray",0
"Kevin Larkin","Nataly Pincheira",0
"Dubravka Glasnović Gracin","Nataly Pincheira",0
"James Gray","Nataly Pincheira",0
"Kevin Larkin","Sylvia Patricia Van Borkulo",0
"Dubravka Glasnović Gracin","Sylvia Patricia Van Borkulo",0
"James Gray","Sylvia Patricia Van Borkulo",0
"Nataly Pincheira","Sylvia Patricia Van Borkulo",0
"Kevin Larkin","Per Nilsson",0
"Dubravka Glasnović Gracin","Per Nilsson",0
"James Gray","Per Nilsson",0
"Nataly Pincheira","Per Nilsson",0
"Sylvia Patricia Van Borkulo","Per Nilsson",0
"Dubravka Glasnović Gracin","Marcus Gustafsson",0
"James Gray","Marcus Gustafsson",0
"Nataly Pincheira","Marcus Gustafsson",0
"Sylvia Patricia Van Borkulo","Marcus Gustafsson",0
"Per Nilsson","Marcus Gustafsson",0
"Kevin Larkin","Sara Gagliani Caputo",0
"Dubravka Glasnović Gracin","Sara Gagliani Caputo",0
"James Gray","Sara Gagliani Caputo",0
"Nataly Pincheira","Sara Gagliani Caputo",0
"Sylvia Patricia Van Borkulo","Sara Gagliani Caputo",0
"Per Nilsson","Sara Gagliani Caputo",0
"Marcus Gustafsson","Sara Gagliani Caputo",0
"Kevin Larkin","Marzia Garzetti",0
"Dubravka Glasnović Gracin","Marzia Garzetti",0
"James Gray","Marzia Garzetti",0
"Nataly Pincheira","Marzia Garzetti",0
"Sylvia Patricia Van Borkulo","Marzia Garzetti",0
"Per Nilsson","Marzia Garzetti",0
"Marcus Gustafsson","Marzia Garzetti",0
"Sara Gagliani Caputo","Marzia Garzetti",0
"Kevin Larkin","Jana Višňovská",0
"Dubravka Glasnović Gracin","Jana Višňovská",0
"James Gray","Jana Višňovská",0
"Nataly Pincheira","Jana Višňovská",0
"Sylvia Patricia Van Borkulo","Jana Višňovská",0
"Per Nilsson","Jana Višňovská",0
"Marcus Gustafsson","Jana Višňovská",0
"Marzia Garzetti","Jana Višňovská",0
"Kevin Larkin","Magdalini Lada",0
"Dubravka Glasnović Gracin","Magdalini Lada",0
"James Gray","Magdalini Lada",0
"Nataly Pincheira","Magdalini Lada",0
"Sylvia Patricia Van Borkulo","Magdalini Lada",0
"Per Nilsson","Magdalini Lada",0
"Marcus Gustafsson","Magdalini Lada",0
"Sara Gagliani Caputo","Magdalini Lada",0
"Marzia Garzetti","Magdalini Lada",0
"Jana Višňovská","Magdalini Lada",0
"Kevin Larkin","Lorenzo Pollani",0
"Dubravka Glasnović Gracin","Lorenzo Pollani",0
"James Gray","Lorenzo Pollani",0
"Nataly Pincheira","Lorenzo Pollani",0
"Sylvia Patricia Van Borkulo","Lorenzo Pollani",0
"Per Nilsson","Lorenzo Pollani",0
"Marcus Gustafsson","Lorenzo Pollani",0
"Sara Gagliani Caputo","Lorenzo Pollani",0
"Jana Višňovská","Lorenzo Pollani",0
"Magdalini Lada","Lorenzo Pollani",0
"Kevin Larkin","Burcu Nur Baştürk Şahin",0
"Dubravka Glasnović Gracin","Burcu Nur Baştürk Şahin",0
"James Gray","Burcu Nur Baştürk Şahin",0
"Nataly Pincheira","Burcu Nur Baştürk Şahin",0
"Sylvia Patricia Van Borkulo","Burcu Nur Baştürk Şahin",0
"Marcus Gustafsson","Burcu Nur Baştürk Şahin",0
"Sara Gagliani Caputo","Burcu Nur Baştürk Şahin",0
"Marzia Garzetti","Burcu Nur Baştürk Şahin",0
"Jana Višňovská","Burcu Nur Baştürk Şahin",0
"Magdalini Lada","Burcu Nur Baştürk Şahin",0
"Lorenzo Pollani","Burcu Nur Baştürk Şahin",0
"Kevin Larkin","Patrick Ebers",0
"Dubravka Glasnović Gracin","Patrick Ebers",0
"Nataly Pincheira","Patrick Ebers",0
"Sylvia Patricia Van Borkulo","Patrick Ebers",0
"Per Nilsson","Patrick Ebers",0
"Marcus Gustafsson","Patrick Ebers",0
"Sara Gagliani Caputo","Patrick Ebers",0
"Marzia Garzetti","Patrick Ebers",0
"Jana Višňovská","Patrick Ebers",0
"Magdalini Lada","Patrick Ebers",0
"Lorenzo Pollani","Patrick Ebers",0
"Burcu Nur Baştürk Şahin","Patrick Ebers",0
"Kevin Larkin","Yosep Dwi Kristanto",0
"Dubravka Glasnović Gracin","Yosep Dwi Kristanto",0
"James Gray","Yosep Dwi Kristanto",0
"Nataly Pincheira","Yosep Dwi Kristanto",0
"Sylvia Patricia Van Borkulo","Yosep Dwi Kristanto",0
"Per Nilsson","Yosep Dwi Kristanto",0
"Marcus Gustafsson","Yosep Dwi Kristanto",0
"Sara Gagliani Caputo","Yosep Dwi Kristanto",0
"Marzia Garzetti","Yosep Dwi Kristanto",0
"Jana Višňovská","Yosep Dwi Kristanto",0
"Magdalini Lada","Yosep Dwi Kristanto",0
"Burcu Nur Baştürk Şahin","Yosep Dwi Kristanto",0
"Patrick Ebers","Yosep Dwi Kristanto",0
"Kevin Larkin","Annika Volt",0
"Dubravka Glasnović Gracin","Annika Volt",0
"James Gray","Annika Volt",0
"Nataly Pincheira","Annika Volt",0
"Sylvia Patricia Van Borkulo","Annika Volt",0
"Per Nilsson","Annika Volt",0
"Marcus Gustafsson","Annika Volt",0
"Sara Gagliani Caputo","Annika Volt",0
"Marzia Garzetti","Annika Volt",0
"Jana Višňovská","Annika Volt",0
"Magdalini Lada","Annika Volt",0
"Lorenzo Pollani","Annika Volt",0
"Burcu Nur Baştürk Şahin","Annika Volt",0
"Patrick Ebers","Annika Volt",0
"Kevin Larkin","Cristina Poli",0
"Dubravka Glasnović Gracin","Cristina Poli",0
"Nataly Pincheira","Cristina Poli",0
"Sylvia Patricia Van Borkulo","Cristina Poli",0
"Per Nilsson","Cristina Poli",0
"Marcus Gustafsson","Cristina Poli",0
"Sara Gagliani Caputo","Cristina Poli",0
"Marzia Garzetti","Cristina Poli",0
"Jana Višňovská","Cristina Poli",0
"Magdalini Lada","Cristina Poli",0
"Lorenzo Pollani","Cristina Poli",0
"Burcu Nur Baştürk Şahin","Cristina Poli",0
"Yosep Dwi Kristanto","Cristina Poli",0
"Annika Volt","Cristina Poli",0
"Kevin Larkin","Caterina Papa",0
"Nataly Pincheira","Caterina Papa",0
"Sylvia Patricia Van Borkulo","Caterina Papa",0
"Per Nilsson","Caterina Papa",0
"Marcus Gustafsson","Caterina Papa",0
"Sara Gagliani Caputo","Caterina Papa",0
"Marzia Garzetti","Caterina Papa",0
"Jana Višňovská","Caterina Papa",0
"Magdalini Lada","Caterina Papa",0
"Lorenzo Pollani","Caterina Papa",0
"Burcu Nur Baştürk Şahin","Caterina Papa",0
"Yosep Dwi Kristanto","Caterina Papa",0
"Annika Volt","Caterina Papa",0
"Kevin Larkin","Francesco Contel",0
"Dubravka Glasnović Gracin","Francesco Contel",0
"James Gray","Francesco Contel",0
"Nataly Pincheira","Francesco Contel",0
"Sylvia Patricia Van Borkulo","Francesco Contel",0
"Per Nilsson","Francesco Contel",0
"Sara Gagliani Caputo","Francesco Contel",0
"Marzia Garzetti","Francesco Contel",0
"Jana Višňovská","Francesco Contel",0
"Magdalini Lada","Francesco Contel",0
"Lorenzo Pollani","Francesco Contel",0
"Patrick Ebers","Francesco Contel",0
"Yosep Dwi Kristanto","Francesco Contel",0
"Annika Volt","Francesco Contel",0
"Cristina Poli","Francesco Contel",0
"Caterina Papa","Francesco Contel",0
"Kevin Larkin","Carlotta Soldano",0
"Dubravka Glasnović Gracin","Carlotta Soldano",0
"James Gray","Carlotta Soldano",0
"Nataly Pincheira","Carlotta Soldano",0
"Sylvia Patricia Van Borkulo","Carlotta Soldano",0
"Per Nilsson","Carlotta Soldano",0
"Marcus Gustafsson","Carlotta Soldano",0
"Sara Gagliani Caputo","Carlotta Soldano",0
"Marzia Garzetti","Carlotta Soldano",0
"Jana Višňovská","Carlotta Soldano",0
"Magdalini Lada","Carlotta Soldano",0
"Lorenzo Pollani","Carlotta Soldano",0
"Burcu Nur Baştürk Şahin","Carlotta Soldano",0
"Patrick Ebers","Carlotta Soldano",0
"Yosep Dwi Kristanto","Carlotta Soldano",0
"Annika Volt","Carlotta Soldano",0
"Cristina Poli","Carlotta Soldano",0
"Caterina Papa","Carlotta Soldano",0
"Francesco Contel","Carlotta Soldano",0
"Kevin Larkin","Hyman Bass",0
"Dubravka Glasnović Gracin","Hyman Bass",0
"James Gray","Hyman Bass",0
"Nataly Pincheira","Hyman Bass",0
"Sylvia Patricia Van Borkulo","Hyman Bass",0
"Per Nilsson","Hyman Bass",0
"Marcus Gustafsson","Hyman Bass",0
"Sara Gagliani Caputo","Hyman Bass",0
"Marzia Garzetti","Hyman Bass",0
"Jana Višňovská","Hyman Bass",0
"Magdalini Lada","Hyman Bass",0
"Lorenzo Pollani","Hyman Bass",0
"Burcu Nur Baştürk Şahin","Hyman Bass",0
"Patrick Ebers","Hyman Bass",0
"Yosep Dwi Kristanto","Hyman Bass",0
"Annika Volt","Hyman Bass",0
"Cristina Poli","Hyman Bass",0
"Caterina Papa","Hyman Bass",0
"Francesco Contel","Hyman Bass",0
"Carlotta Soldano","Hyman Bass",0
