Source,Target,Type,Id,Label,Weight,Color
Per Nilsson,Burcu Nur Baştürk Şahin,Undirected,0,,0.142857,"#000000"
James Gray,Caterina Papa,Undirected,1,,0.142857,"#000000"
James Gray,Patrick Ebers,Undirected,2,,0.125,"#000000"
James Gray,Cristina Poli,Undirected,3,,0.125,"#000000"
Patrick Ebers,Caterina Papa,Undirected,4,,0.125,"#000000"
Cristina Poli,Caterina Papa,Undirected,5,,0.125,"#000000"
Patrick Ebers,Cristina Poli,Undirected,6,,0.111111,"#000000"
Burcu Nur Baştürk Şahin,Francesco Contel,Undirected,7,,0.090909,"#000000"
Kevin Larkin,Marcus Gustafsson,Undirected,8,,0.052632,"#000000"
Marcus Gustafsson,Francesco Contel,Undirected,9,,0.052632,"#000000"
Sara Gagliani Caputo,Jana Višňovská,Undirected,10,,0.04,"#000000"
Marzia Garzetti,Lorenzo Pollani,Undirected,11,,0.04,"#000000"
Lorenzo Pollani,Yosep Dwi Kristanto,Undirected,12,,0.038462,"#000000"
Yosep Dwi Kristanto,Annika Volt,Undirected,13,,0.038462,"#000000"
Dubravka Glasnović Gracin,Caterina Papa,Undirected,14,,0.034483,"#000000"
