"Id","Label"
"Annika Volt","Annika Volt"
"Burcu Nur Baştürk Şahin","Burcu Nur Baştürk Şahin"
"Carlotta Soldano","Carlotta Soldano"
"Caterina Papa","Caterina Papa"
"Cristina Poli","Cristina Poli"
"Dubravka Glasnović Gracin","Dubravka Glasnović Gracin"
"Francesco Contel","Francesco Contel"
"Hyman Bass","Hyman Bass"
"James Gray","James Gray"
"Jana Višňovská","Jana Višňovská"
"Kevin Larkin","Kevin Larkin"
"Lorenzo Pollani","Lorenzo Pollani"
"Magdalini Lada","Magdalini Lada"
"Marcus Gustafsson","Marcus Gustafsson"
"Marzia Garzetti","Marzia Garzetti"
"Nataly Pincheira","Nataly Pincheira"
"Patrick Ebers","Patrick Ebers"
"Per Nilsson","Per Nilsson"
"Sara Gagliani Caputo","Sara Gagliani Caputo"
"Sylvia Patricia Van Borkulo","Sylvia Patricia Van Borkulo"
"Yosep Dwi Kristanto","Yosep Dwi Kristanto"
